	Sentence	Level
0	The teachers are very nice and friendly . 	A
1	I like my house because it is big and comfortable . 	A
2	You can buy Turkish and English products as well. 	A
3	The weather was cloudy but fine. 	A
4	It was cheap but beautiful. 	A
5	It was the biggest TV in the bazaar, with its huge, black screen. 	B
6	My house was built in 1864. It's an old, Victorian-style house. 	B
7	In the winter you can go to the fitness centre, there you can get stronger and fitter. B	B
8	The cars will fly around the buildings like planes, and they will be faster and cheaper. 	B
9	Her name is Cassia, she is beautiful, intelligent, funny and very reliable. 	B
10	He is tall, thin and not very handsome, but he is very nice and friendly. 	B
11	I could see how the fire was burning the door, and the room became hotter and hotter. 	B
12	I think that's a good question, because nowadays television is getting worse and worse, but there are still some good programmes. 	B
13	He was tall and good-looking. 	B
14	"This programme is presented by ""Gato Feobranto,"" a well-known comedy group. "	B
15	The selling point is that it contains the most up-to-date and state-of-the-art know-how, for instance a water-proof keyboard, information security system, etc. A survey of our customers last year indicated that over 70% of them are content with the user-friendly designs. 	B
16	getting to work in big cities by car is more healthy for drivers but has a long-term effect on the environment and on us, in the end, as well. 	B
17	Besides, we could leave one day in the morning and travel by boat to a small and exotic island full of different and exotic species of birds that we could observe and photograph. 	B
18	Emily Brontë succeeded in writing a romantic, psychological and tragic story, beautifully set in these mysterious moors. 	B
19	I would describe myself as an easy-going and open-minded person. 	C
20	we suggest investing a certain amount of money in the above-mentioned technical devices in order to achieve the financial target. 	C
21	But as she does not live in a well-to-do family, Ola was never able to afford additional private lessons, for example. 	C
22	If anyone has ever seen it, they would agree with me that it was THE most jaw-dropping road in the world. 	C
23	A timid, shy, self-conscious, over-sensitive and vulnerable person can yearn to make friends with someone who is very self-assured, confident, decisive, even bossy. 	C
24	In the increasingly materialistic, greedy and shallow society we live in today, it would almost seem that there are no disadvantages to being rich. 	C
25	Imaginative, good-humoured, friendly, he was respected and liked by his peer-students. 	C
26	The latter – fat, ugly and sick – blows his top when Ralph tells the others about the fat boy's nice name, as he wanted to keep it secret. 	C
27	I played computer games with my older brother. 	A
28	The shirt was cheaper than the trousers. 	A
29	It is easy to use and it is smaller than the old one. 	A
30	I like it because it's small and easier to use than other phones. 	A
31	The students were happier and there were lots of stories for their parents. 	A
32	I just watched a cricket match with my younger brother and my father. 	A
33	I bought the shoes and the t-shirt for my older brother's party. 	A
34	I want to take this course because I want to know more about computers, so that I can get a better job. 	A
35	Sam, It would be better if you came after 4.30 p.m. 	A
36	You can come by bus, it's easier. 	A
37	You need to wear shorts and a t-shirt so you are more comfortable. 	A
38	The rooms are all very beautiful, but I prefer my room because is bigger. 	A
39	I bought lots of T-shirts because the weather is getting hotter. 	A
40	 I think it will be nicer. 	A
41	You can come by boat, but I prefer to come by aeroplane because it is safer. 	A
42	What colour do you think is better? 	A
43	For further information, contact Joey Hung. 	A
44	I think you must be more careful. 	A
45	It was more expensive than the other clothes. 	A
46	It's smaller than my old phone and I like it because it has bluetooth and it isn't very expensive. 	A
47	The weather in Thailand was hotter than Vietnam, but I was alright! 	A
48	My new mobile is more interesting than my old mobile. 	A
49	I think the teacher in the new class is much better than the last one. 	B
50	The house is beautiful, and so much bigger than the previous one. 	B
51	He's 15, a bit smaller than me, dark hair, brown eyes. 	B
52	Our first lesson was a bit shorter, but very unusual. 	B
53	She's a little bit older than me. 	B
54	I saw everything become smaller and smaller. 	B
55	I think that's a good question, because nowadays television is getting worse and worse, but there are still some good programmes. 	B
56	Summer is coming. Days become longer and longer. 	B
57	 I'm sure you've seen part one already, but part two was even better! 	B
58	As I finished, my smile got even bigger. 	B
59	I think that it is awful, because that means that in Spain it will be even hotter than it is now. 	B
60	In addition, remember that a bike, even a good one, is a lot cheaper than a car. 	B
61	Don't you think it would be a lot easier for you to finish college first? 	B
62	Although it is a second-hand computer which one of my colleagues sold me, it is a much better investment than the bicycle, I think. 	B
63	I think the Majestic Hotel is too expensive, so what about a much cheaper hotel like the Plaza Hotel? 	B
64	On the other hand, our grandparents had much fresher vegetables and meat they could trust, without BSE... 	B
65	I bought a new one, since the price of a second-hand one was slightly cheaper. 	B
66	They have their own characteristics, but the food of restaurant A is slightly better than that of B. 	B
67	That is why we are not any happier than you were. 	C
68	I will probably find the water to be no higher than my thighs. 	C
69	Although she is not that much older than I am, one could think there were quite a few years between us. 	C
70	I like Croydon because it's very quiet and very nice. 	A
71	My neighbours are very friendly. 	A
72	It was sunny and really hot every day! 	A
73	I'm so happy because we can have a party for my birthday together! 	A
74	They are quite expensive. 	A
75	I think swimming is good for my body. 	A
76	The house was full of people, my family and friends. 	A
77	They aren't too expensive. They cost like £30. 	A
78	I bought a jacket because the other one that I had was too small. 	A
79	I bought them because I noticed that most of my clothes were too small for me. 	A
80	 my boss told me that at 10.15 am I have a very important meeting. 	B
81	 she's also a really good friend. 	B
82	My room is big enough, there is a lot of space, and for this reason I will buy a stereo. 	B
83	I thought they had the same problem as me: we don't think our English is good enough. 	B
84	I been thinking about your last letter for quite a long time and I came to the following conclusion. 	B
85	This is quite a difficult situation you have. 	B
86	I personally think going to a large school is quite a good idea. 	B
87	He always told me that he was too busy to write a letter to me, his wife. 	B
88	We took two days to mend it, but the machine is too old to work well. 	B
89	 I was lucky enough to take part in it last November, and I enjoyed it immensely. 	B
90	In my opinion young people at that age are not mature enough to decide by themselves what they want for their future. 	B
91	Films tend to be rather a simple art, while books are a thing to be enjoyed in a calmer way. 	B
92	I must confess that I'm rather a poor player. 	B
93	I live rather a long way from work, about 10 km. 	B
94	I am absolutely sure that it will attract even more attention. 	C
95	Nowadays, it is extremely difficult to imagine how workers lived ten years ago, especially because of the incredibly fast evolution in technology. 	C
96	I would make a totally new programme, in which the following points must be improved:  	C
97	Because our debates do not draw as large a number of students as the guest appearances, but are still enjoyed by a relevant number of students, we propose a change of focus for the events. 	C
98	It was such a riddle that I went and saw my psycho-analyst, who revealed to me that I once had so strong a shock that I was now walking and hiding my money in my sleep. 	C
99	We have a big garden and a small swimming pool. 	A
100	My name is Bogdan. I am your new neighbour. 	A
101	I like my home because I have a nice park next to my house. 	A
102	I like my home because my bedroom is big. 	A
103	This place is lovely. 	A
104	My kitchen is nice. 	A
105	This place is beautiful. 	A
106	the main reason is that I am practising the language. 	A
107	But the only thing that I didn't like was the weather. 	A
108	Yes, I am free Monday morning. 	A
109	I love her because she is friendly. 	A
110	It is black and it looks perfect. 	A
111	I bought them because I feel comfortable when I am wearing these clothes. 	A
112	I was very nervious because I was  alone at the bus station  	B
113	On that night while I was watching TV, I was almost  asleep , the door bell rang. 	B
114	We went in the room and I was very happy that my father was still  alive. 	B
115	The main character in the programme is a journalist who is visiting the town. 	B
116	Dear Fiona, I see you are in a complicated situation, aren't you? 	B
